Gene,log2FC,pvalue
FKBP11,3.171179141,0
XBP1,2.563761573,0
SEC24D,2.282980295,7.95E-266
MEI1,2.883186192,1.10E-105
PLPP5,2.545045954,4.59E-194
DNAJB9,2.602535749,1.14E-244
SEC11C,2.305586306,3.91E-157
SSR3,1.934135528,3.00E-179
PLCH2,1.7808242,7.68E-31
PPIB,2.151674217,3.85E-285
HID1,1.508305418,7.54E-28
CREB3L2,1.484782953,2.24E-160
CRELD2,2.553343006,8.62E-144
QPCTL,1.966712416,5.05E-47
MZB1,1.976812248,4.37E-220
PDIA4,2.644582929,0
GMPPA,1.811058208,1.50E-92
SELENOM,2.068338926,1.90E-17
FKBP14,1.657194346,2.89E-39
ADM2,1.582162172,1.15E-20
FICD,1.775264884,8.00E-47
MYDGF,2.030877016,6.86E-195
ABAT,1.557812855,1.48E-44
ST6GALNAC4,1.788786231,3.65E-25
SEC61A1,1.511235041,3.81E-254
RRBP1,1.391544276,3.00E-70
SEC61B,1.719712511,4.33E-145
RWDD2A,1.464997336,3.35E-23
ARMCX3,1.599785691,2.05E-129
FKBP2,1.798593783,6.07E-71
WFS1,1.766482281,5.18E-27
TXNDC5,1.668793995,2.43E-31
PGM3,1.371341516,1.58E-45
HERPUD1,2.702121138,0
SEC61G,1.46298616,1.02E-68
MANF,2.415319997,2.89E-259
SSR4,1.729665991,2.49E-144
NANS,1.803959262,1.02E-124
ERO1B,1.906291168,7.19E-70
SSR1,1.36724558,8.20E-154
GMPPB,1.422783466,6.89E-66
PDIA5,1.633220051,1.32E-46
EDEM2,1.840224932,8.72E-99
SSR2,1.707942819,4.61E-193
B9D1,1.791148098,4.79E-28
DNAJC3,1.832532103,3.25E-246
ERLEC1,1.620387813,1.63E-118
OSTC,1.623098882,4.73E-113
HYOU1,1.969443885,0
ARF4,1.506933985,1.23E-212
SELENOS,1.669296481,1.34E-123
CCDC163,1.413343252,2.00E-23
UGDH,1.288328576,2.63E-31
AL163636.2,1.369104225,9.83E-14
FGFBP2,1.802245264,1.43E-14
TMED9,1.557391165,3.35E-188
BTN3A3,1.356990505,7.31E-26
TMEM214,1.455701828,7.10E-75
SLC10A7,1.45523808,3.75E-44
STX5,1.546217394,5.05E-118
SDF2L1,2.218743218,7.71E-110
ISG20,1.444937726,1.97E-17
DUSP16,1.231253034,6.03E-54
CYTH4,1.463338106,4.58E-15
CHPF,1.661610438,6.33E-28
HSPA13,1.359047092,3.02E-117
HM13,1.451437808,9.03E-125
TRAM1,1.439242372,2.19E-209
SERP1,1.393837582,1.64E-255
P4HB,1.507310779,4.15E-167
PDIA3,1.589880837,2.30E-232
TMEM39A,1.38311914,5.12E-77
PILRA,1.560066904,3.39E-19
SLC33A1,1.427746868,1.23E-112
ANG,1.830755183,4.93E-20
LMAN1,1.141802737,3.04E-145
FBXO16,1.488067447,1.51E-21
COPG1,1.107140155,3.46E-103
CDK2AP2,1.735551315,4.28E-88
TMEM258,1.24929739,1.73E-44
SELENOK,1.626100948,3.66E-71
BTN3A1,1.267566673,1.59E-26
SMIM14,1.378312738,8.39E-87
STT3A,1.210288813,1.21E-257
PDIA6,1.636880432,0
PREB,1.392482212,3.02E-95
RNASE4,1.718311741,1.43E-20
SLC39A7,1.285297062,6.71E-144
ANXA2,1.363431518,9.41E-20
CORO1B,1.242396702,1.16E-41
USO1,1.200713145,1.82E-135
CKAP4,1.347951546,2.60E-102
ALG2,1.289090352,8.68E-55
HSP90B1,2.190221664,0
SEC23B,1.181545483,7.12E-137
KDELR2,1.367198638,2.17E-154
LMNA,1.270549434,1.90E-12
IL16,1.094896648,2.29E-27
RPN1,1.386977021,1.71E-252
HSPA5,2.252207455,0
IL17RE,1.190442739,1.57E-11
FKBP1A,1.246964517,4.79E-267
ARFGAP3,1.129131975,3.66E-134
DDOST,1.46086812,2.64E-210
TRIM5,1.111777766,1.62E-28
SIL1,1.446177049,3.53E-45
ENTPD7,1.184248969,1.24E-28
FNDC3A,0.854835361,1.79E-38
LIME1,1.47031482,6.53E-20
KCNK6,1.059592547,3.87E-25
TSPYL2,1.155944288,3.56E-46
COPE,1.376693776,3.39E-81
LRRC59,0.94944587,3.42E-132
DSTN,1.316614818,5.00E-52
SMPD1,1.211991395,2.07E-14
WDR45,1.173924758,1.65E-31
SRPRB,1.233303093,3.12E-96
TMED2,1.262881327,1.38E-260
AL121845.2,1.284344239,2.90E-14
SPCS3,1.216591026,3.28E-106
SNPH,1.006676779,4.21E-12
BET1,1.226213576,7.69E-44
SND1,0.891432574,4.14E-92
SLC38A10,1.086674209,2.31E-30
EMP3,1.083192016,6.87E-34
TVP23C-CDRT4,0.411353964,0.009906854
DNAJC10,1.010487833,8.08E-65
SLC1A4,1.095675969,1.81E-88
BHLHA15,0.475323321,0.000180989
MBNL2,1.132919336,6.90E-43
LMAN2,1.373566656,7.18E-99
SURF4,1.254425374,8.30E-113
RABAC1,1.41881111,5.97E-33
WIPI1,1.418637769,4.87E-23
GALK2,1.000738163,1.38E-29
UFM1,1.040037583,7.22E-64
SPCS2,1.096666096,1.07E-64
GOLGB1,0.710611832,5.62E-19
SRPRA,1.038643127,6.17E-87
MGAT2,1.140069056,1.87E-77
EIF2AK3,1.067096745,1.26E-62
RPN2,1.127132731,1.12E-138
SDCBP2,1.192223742,1.26E-12
PTPRN2,1.216194354,7.93E-23
SYVN1,1.314037994,7.04E-45
S100A6,0.949145136,7.90E-25
TMED7-TICAM2,1.059347745,3.65E-14
LYSMD3,1.093032309,6.21E-54
DERL3,2.395658275,9.06E-33
CHPF2,0.915879369,8.11E-22
ACADVL,0.967751359,2.74E-69
HSD17B8,1.227423424,1.87E-27
MTDH,0.921600725,2.53E-128
CANX,1.015496826,8.84E-146
SEC13,1.038241073,6.21E-112
DNAJB11,1.538844443,1.51E-162
WARS,1.189644112,3.08E-167
CHCHD2,1.139279748,4.89E-88
MLEC,0.923315111,1.25E-153
DQX1,0.703355493,5.29E-05
COG3,0.773081383,1.54E-23
